dataset,dataset_label,joint,joint_index,phase_percent,p10,p25,p50_median,p75,p90
sim,Simulation,shoulder_lift.pos,1,42,-44.86153678894043,-12.703736095428443,20.031647357940674,41.545933380126954,67.31480970764161
sim,Simulation,shoulder_lift.pos,1,43,-44.78241806030273,-8.667912356853485,19.966153802871705,41.23076915740967,67.7845276260376
sim,Simulation,shoulder_lift.pos,1,44,-45.469890197753905,-12.765714235305783,20.225054244995114,43.27120800018311,70.1883014831543
sim,Simulation,shoulder_lift.pos,1,45,-46.57714145660398,-14.28351596593858,19.980219888687134,44.69010696411133,70.62857437133792
sim,Simulation,shoulder_lift.pos,1,46,-47.03437409973146,-20.0123078250885,18.69626388549805,44.30769157409668,69.34048240661626
sim,Simulation,shoulder_lift.pos,1,47,-46.081759674072266,-18.609011645317064,17.075165100097657,44.89164736747742,69.51455187988286
sim,Simulation,shoulder_lift.pos,1,48,-46.124306777954104,-20.58725307464599,16.850989112854002,44.98373626708987,69.40272741699224
sim,Simulation,shoulder_lift.pos,1,49,-49.38022041320801,-23.863955478668206,16.480439319610596,43.07055059432983,69.12422029113773
sim,Simulation,shoulder_lift.pos,1,50,-49.81978073120117,-22.725274562835693,15.296701908111572,41.87912130355835,69.80659561157226
sim,Simulation,shoulder_lift.pos,1,51,-52.228570556640626,-23.82637350559234,13.768791007995606,40.59340763092041,68.45406719207766
sim,Simulation,shoulder_lift.pos,1,52,-57.06057304382324,-24.55032953262329,13.230769157409668,38.16527431488038,67.9743314819336
sim,Simulation,shoulder_lift.pos,1,53,-58.281408390045165,-26.646153469085704,12.615384483337404,36.76373532295234,65.257935585022
sim,Simulation,shoulder_lift.pos,1,54,-57.919825859069825,-30.45362559318543,11.89186813354491,34.88791103363037,60.5380169067383
sim,Simulation,shoulder_lift.pos,1,55,-58.94417659759522,-33.47912015914916,3.679120975732832,33.800000286102275,56.23956188201906
sim,Simulation,shoulder_lift.pos,1,56,-55.684570877075195,-35.90241817474365,0.8386813022196293,31.783734951019238,55.96835267639161
sim,Simulation,shoulder_lift.pos,1,57,-56.91041820907595,-37.65692204475397,-3.212747299671169,27.016484003067003,55.393671192169194
sim,Simulation,shoulder_lift.pos,1,58,-59.285274856567355,-38.78241615295407,-4.472088048458087,25.09274778366092,57.856529228210455
sim,Simulation,shoulder_lift.pos,1,59,-63.13758094787599,-39.54153918266297,-6.0439560008049265,22.15934054851532,57.33978186416626
sim,Simulation,shoulder_lift.pos,1,60,-70.6408787536621,-38.38681278228758,-6.443956112861631,24.21978044509888,55.514724502563475
sim,Simulation,shoulder_lift.pos,1,61,-70.79700994110107,-36.7270337295532,-2.1938459205627456,26.10022001266476,48.387340393066445
sim,Simulation,shoulder_lift.pos,1,62,-74.35621775817872,-41.777579956054716,-0.5037362697720656,27.171867618560803,42.26145043945319
sim,Simulation,shoulder_lift.pos,1,63,-81.73433000946045,-39.052747325897215,-2.478681399077113,23.592307887077336,42.93705411148066
sim,Simulation,shoulder_lift.pos,1,64,-82.53714300537109,-40.84483615875244,-1.9024176335334668,24.23208766937256,42.322990020751966
sim,Simulation,shoulder_lift.pos,1,65,-85.11121109008789,-37.813186836242636,-3.832967054843891,23.28131856918334,41.751208438873384
sim,Simulation,shoulder_lift.pos,1,66,-84.9476946258545,-38.82373615264893,-0.0632967037707588,19.88043998718262,43.30303453063966
sim,Simulation,shoulder_lift.pos,1,67,-82.63041744995117,-40.074284973144515,0.9929670253396001,21.460218997001565,44.09160389328005
sim,Simulation,shoulder_lift.pos,1,68,-83.294240234375,-41.39604316711423,-6.0061539649963365,21.301978111267086,42.79736218261719
sim,Simulation,shoulder_lift.pos,1,69,-83.21986616516114,-42.17296576499941,-3.4303297346830486,24.624175662994382,40.18162729263308
sim,Simulation,shoulder_lift.pos,1,70,-90.09934120178228,-43.393405532837,-7.336263704299949,25.186813354492188,42.582856216430685
sim,Simulation,shoulder_lift.pos,1,71,-91.86760608673096,-46.06922970771791,-6.748131630420714,25.015385246276857,42.37081216430665
sim,Simulation,shoulder_lift.pos,1,72,-95.52650888061524,-48.198682708740215,-9.181538581848143,23.048790988922104,44.139251403808586
sim,Simulation,shoulder_lift.pos,1,73,-99.57357209777817,-53.87296600341798,-11.8413184309006,25.82043996334074,41.59578042221073
sim,Simulation,shoulder_lift.pos,1,74,-100.00003814697266,-57.21318630218505,-16.873845586776802,24.15736284255981,39.316923194885256
sim,Simulation,shoulder_lift.pos,1,75,-100.00003814697266,-63.39560484886175,-22.725274324417114,19.60439622402191,38.85714340209961
sim,Simulation,shoulder_lift.pos,1,76,-100.00003814697266,-68.43692321777351,-33.19208915710453,13.498022012710534,38.02022123718262
