lag_frames,lag_ms,window_start_s,joint,bias_state_minus_action,mae,rmse,p95_abs_error,max_abs_error,normalized_rmse_by_action_range,within_2_units_rate,within_5_units_rate,window
11,366.666316986084,0.0,shoulder_lift.pos,2.759646619982825,5.581204046787371,6.780472687264681,12.223265457153312,26.126811981201172,0.04846648427764733,0.2029520295202952,0.4833948339483395,all
11,366.666316986084,0.0,elbow_flex.pos,3.6210532735524583,4.617797335300498,5.927583798013484,12.21512870788574,20.71305561065674,0.04966104933192913,0.25092250922509224,0.6734317343173432,all
11,366.666316986084,0.0,wrist_flex.pos,0.8687173308481589,1.6736412083530778,2.636102737557318,6.393248367309567,11.978900909423828,0.05040292493053942,0.7638376383763837,0.9206642066420664,all
11,366.666316986084,0.0,wrist_roll.pos,-0.07442191430123529,1.123295900126665,2.7621619915365043,5.286058044433589,21.138954162597656,0.07873193188406716,0.8671586715867159,0.9464944649446494,all
11,366.666316986084,0.0,gripper.pos,2.697888685438466,3.8096385852217236,6.440211063610518,16.433932709693902,22.296979427337646,0.18410170250357036,0.6199261992619927,0.7177121771217713,all
12,399.99961853027344,0.0,shoulder_pan.pos,-0.20111737911229655,1.6562142679519443,2.6313971314597997,6.144235610961914,13.272544860839844,0.06188589210359449,0.7412199630314233,0.9260628465804066,all
12,399.99961853027344,0.0,shoulder_lift.pos,2.7235504793702123,6.195463404582741,7.464429305969686,13.215389251708984,26.126811981201172,0.05335537244754152,0.17190388170055454,0.4417744916820702,all
12,399.99961853027344,0.0,elbow_flex.pos,3.6518155661946965,4.976117758951434,6.450773994519058,13.573753356933594,21.168889045715332,0.054044314932889914,0.24029574861367836,0.6451016635859519,all
12,399.99961853027344,0.0,wrist_flex.pos,0.863916502862673,1.808902313881132,2.9053587441267235,6.83251953125,12.35274887084961,0.05555116520693702,0.7486136783733827,0.8872458410351202,all
12,399.99961853027344,0.0,wrist_roll.pos,-0.07545272347667081,1.2389614789190662,3.0498650881891765,5.7004852294921875,21.138954162597656,0.08693254454831321,0.8502772643253235,0.9353049907578558,all
12,399.99961853027344,0.0,gripper.pos,2.682564206021991,3.949837403795415,6.561330283662354,16.45799946784973,23.237454175949097,0.1875640509261928,0.5970425138632163,0.711645101663586,all
13,433.3329200744629,0.0,shoulder_pan.pos,-0.19940666109323502,1.8385704154217686,2.8768931228261287,6.835691690444943,12.965438842773438,0.06765953160936276,0.6833333333333333,0.9166666666666666,all
13,433.3329200744629,0.0,shoulder_lift.pos,2.6901691120531823,6.808502040251538,8.148798107260601,14.284359645843486,26.10647201538086,0.05824720687822621,0.14629629629629629,0.3851851851851852,all
13,433.3329200744629,0.0,elbow_flex.pos,3.6810065023877003,5.356196827524238,6.993470945321606,14.937668228149414,21.806469917297363,0.058591007306117084,0.2351851851851852,0.6129629629629629,all
13,433.3329200744629,0.0,wrist_flex.pos,0.8590372403462728,1.9570290706775806,3.1784270054983987,7.608744621276838,12.8377685546875,0.060772296721554334,0.7314814814814815,0.8722222222222222,all
13,433.3329200744629,0.0,wrist_roll.pos,-0.07665563512731481,1.3449240507902922,3.2997414323837764,7.049797439575191,21.44860076904297,0.09405495350580718,0.8444444444444444,0.9314814814814815,all
13,433.3329200744629,0.0,gripper.pos,2.6672601358758077,4.079995420575142,6.676384444967335,16.532907915115356,23.66960310935974,0.19085302185698283,0.5796296296296296,0.7037037037037037,all
14,466.66622161865234,0.0,shoulder_pan.pos,-0.19805983505134017,2.022799605009507,3.1093482297035044,7.490970993041991,12.633354187011719,0.07312647215252667,0.647495361781076,0.9072356215213359,all
14,466.66622161865234,0.0,shoulder_lift.pos,2.6610843716724903,7.392747290003941,8.839487181552808,15.675646781921376,26.126811981201172,0.06318421830853556,0.14285714285714285,0.3432282003710575,all
14,466.66622161865234,0.0,elbow_flex.pos,3.70873912339529,5.751297520297356,7.551134678655935,16.01038475036621,23.1296968460083,0.06326309075789807,0.22634508348794063,0.5769944341372912,all
14,466.66622161865234,0.0,wrist_flex.pos,0.8539086131306438,2.1122143131461346,3.4540841872713264,8.416892623901367,13.424793243408203,0.06604292902336643,0.7142857142857143,0.8571428571428571,all
14,466.66622161865234,0.0,wrist_roll.pos,-0.0777802900834517,1.4420006775015581,3.524653361116078,8.410633087158192,21.97607421875,0.10046578339454064,0.8330241187384044,0.9257884972170687,all
14,466.66622161865234,0.0,gripper.pos,2.6518358453306505,4.206508956614584,6.782184194982869,16.5492743730545,23.66960310935974,0.19387744355837228,0.5658627087198516,0.6957328385899815,all
15,499.9995231628418,0.0,shoulder_pan.pos,-0.19679793831805759,2.203960931766432,3.3302989724736904,7.969405460357665,12.613836288452148,0.07832285002487736,0.6189591078066915,0.8996282527881041,all
